date,new price open,new price close,t+1 new,t+2 new,t+3 new ,t+4 new ,t+5 new ,t+6 new,full price open,full price close,t+1 full,t+2 full,t+3 full,t+4 full,t+5 full,t+6 full,% change new to full ,,% change new t+1,,% new t+2,,%n t+3,,%n t+4,,%n t+5,,%n t+6,,% change Full to new,,%change full+1,,%Ft+2,,%F t+3,,%ft+4,,%ft+5,,%ft+6,
1/9/16 -1/23/16,453.38,447.61,447.99,448.43,435.69,432.37,430.31,364.33,382.43,387.5,402.97,391.73,392.15,394.97,380.29,379.47,15.51%,-170.39%,-0.08%,-2.00%,-0.18%,-6.16%,2.74%,-28.35%,3.52%,-66.37%,4.02%,-116.32%,22.86%,-94.10%,-3.66%,324.07%,3.99%,-7.28%,1.09%,1.62%,1.20%,-3.98%,1.93%,106.50%,-1.86%,81.15%,-2.07%,24.86%
2/8/16-2/22/16,376.76,373.33,376.03,381.65,379.65,384.26,391.86,407.23,438.99,437.75,420.74,424.95,424.54,432.15,432.52,433.5,-14.72%,times right 28,-0.72%,times right 30,-2.18%,t right 32,-1.66%,right 29,-2.84%,right 29,-4.73%,right 24,-8.32%,right 28,-5.43%,times right 38,-3.89%,right 37,-2.92%,right 38,-3.02%,right 41,-1.28%,right 43,-1.19%,right 35,-0.97%,right 34
3/8/16-3/23/16,414.56,413.97,414.86,417.13,421.69,411.62,414.07,416.44,418.16,418.04,416.39,417.18,417.95,426.77,424.23,416.52,-0.97%,94.65%,-0.21%,24.70%,-0.76%,36.12%,-1.83%,21.46%,0.57%,27.06%,-0.02%,14.89%,-0.59%,32.40%,1.12%,146.92%,-0.39%,-5.13%,-0.21%,0,-0.02%,6.99%,2.09%,21.94%,1.48%,39.64%,-0.36%,35.72%
4/7/16-4/22/16,423.62,422.74,420.35,419.41,421.56,422.48,425.19,423.73,449.69,445.74,450.28,458.55,461.43,466.09,444.69,449.01,-5.16%,,0.57%,,0.79%,,0.28%,,0.06%,,-0.58%,,-0.23%,,3.11%,,1.02%,,2.87%,,3.52%,,4.57%,,-0.24%,,0.73%,
5/6/16-5/21/16,447.94,459.6,458.54,458.55,460.48,450.89,452.73,454.77,442.97,443.19,439.32,444.15,445.98,449.6,453.38,473.46,3.70%,,0.23%,,0.23%,,-0.19%,,1.93%,,1.52%,,1.06%,,29.23%,,-0.87%,,0.22%,,0.63%,,1.45%,,2.30%,,6.83%,
6/4/16-6/20/16,569.71,572.73,574.98,585.54,576.6,581.65,574.63,577.47,763.93,737.23,666.65,596.12,623.98,665.3,665.12,629.37,-22.31%,,-0.39%,,-2.19%,,-0.67%,,-1.53%,,-0.33%,,-0.82%,,-7.27%,,-9.57%,,-19.14%,,-15.36%,,-9.76%,,-9.78%,,-14.63%,
7/4/16-7/19/21,658.8,683.66,670.63,677.33,640.56,666.52,650.96,649.36,672.74,672.86,665.68,665.01,650.62,655.56,661.28,654.1,1.61%,,1.94%,,0.93%,,6.73%,,2.57%,,5.02%,,5.28%,,-18.64%,,-1.07%,,-1.17%,,-3.31%,,-2.57%,,-1.72%,,-2.79%,
8/2/16-8/18/16,606.4,547.47,566.35,578.29,575.04,587.78,592.69,591.05,573.71,574.32,575.63,581.7,581.31,586.75,583.41,580.18,-4.68%,,-3.33%,,-5.33%,,-4.79%,,-6.86%,,-7.63%,,-7.37%,,-0.35%,,0.23%,,1.28%,,1.22%,,2.16%,,1.58%,,1.02%,
9/1/16-9/16/16,575.55,572.3,575.54,598.21,608.63,608.63,606.59,610.44,607.25,606.97,605.98,609.87,609.23,608.31,597.15,596.3,-5.71%,,-0.56%,,-4.33%,,-5.97%,,-5.97%,,-5.65%,,-6.25%,,0.45%,,-0.16%,,0.48%,,0.37%,,0.22%,,-1.62%,,-1.76%,
9/30/16-10/16/16,605.72,609.73,613.98,610.89,612.13,610.2,612.51,613.02,639.08,641.63,639.19,637.96,630.52,630.86,632.83,657.29,-4.97%,,-0.69%,,-0.19%,,-0.39%,,-0.08%,,-0.45%,,-0.54%,,9.39%,,-0.38%,,-0.57%,,-1.73%,,-1.68%,,-1.37%,,2.44%,
10/30/16-11/14/16,714.12,701.86,700.97,729.79,740.83,688.7,703.23,703.42,702,705.02,711.62,744.2,740.98,751.59,751.62,731.03,-0.45%,,0.13%,,-3.83%,,-5.26%,,1.91%,,-0.19%,,-0.22%,,4.34%,,0.94%,,5.56%,,5.10%,,6.61%,,6.61%,,3.69%,
11/29/16-12/13/16,736.33,735.6,745.69,756.77,777.94,771.16,773.87,758.7,780.65,780.56,781.48,778.09,784.91,790.83,790.53,792.71,-5.76%,,-1.35%,,-2.80%,,-5.44%,,-4.61%,,-4.95%,,-3.04%,,24.72%,,0.12%,,-0.32%,,0.56%,,1.32%,,1.28%,,1.56%,
12/29/16-1/12/17,975.13,973.5,961.24,963.74,998.33,"1,021.75","1,043.84","1,154.73",775.18,804.83,823.98,818.41,821.8,831.53,907.94,886.62,20.96%,,1.28%,,1.01%,,-2.49%,,-4.72%,,-6.74%,,-15.69%,,14.28%,,2.38%,,1.69%,,2.11%,,3.32%,,12.81%,,10.16%,
1/27/17-2/10/17,918.36,919.75,921.59,919.5,920.38,970.4,989.02,"1,011.80",995.63,988.67,"1,004.45",999.18,990.64,"1,004.55","1,007.48","1,027.44",-6.97%,,-0.20%,,0.03%,,-0.07%,,-5.22%,,-7.00%,,-9.10%,,17.86%,,1.60%,,1.06%,,0.20%,,1.61%,,1.90%,,3.92%,
2/26/17-3/12/17,"1,144.27","1,165.20","1,179.97","1,179.97","1,222.50","1,251.01","1,274.99","1,255.15","1,176.62","1,221.38","1,231.92","1,240.00","1,249.61","1,187.81","1,100.23",973.82,-4.60%,,-1.25%,,-1.25%,,-4.69%,,-6.86%,,-8.61%,,-7.17%,,-14.38%,,0.86%,,1.52%,,2.31%,,-2.75%,,-9.92%,,-20.27%,
3/27/17-4/11/17,972.05,"1,045.77","1,047.15","1,039.97","1,026.43","1,071.79","1,080.50","1,102.17","1,187.46","1,205.01","1,200.37","1,169.28","1,167.54","1,172.52","1,182.94","1,193.91",-13.21%,,-0.13%,,0.56%,,1.88%,,-2.43%,,-3.21%,,-5.12%,,6.31%,,-0.39%,,-2.97%,,-3.11%,,-2.70%,,-1.83%,,-0.92%,
4/26/17-5/10/17,"1,265.99","1,281.08","1,317.73","1,316.48","1,321.79","1,347.89","1,421.60","1,452.82","1,756.52","1,787.13","1,848.57","1,724.24","1,804.91","1,808.91","1,738.43","1,734.45",-28.32%,,-2.78%,,-2.69%,,-3.08%,,-4.96%,,-9.88%,,-11.82%,,28.98%,,3.44%,,-3.52%,,0.99%,,1.22%,,-2.73%,,-2.95%,
5/25/17-6/9/17,"2,446.24","2,304.98","2,202.42","2,038.87","2,155.80","2,255.61","2,175.47","2,286.41","2,807.44","2,823.81","2,947.71","2,958.11","2,659.63","2,717.02","2,506.37","2,464.58",-18.37%,,4.66%,,13.05%,,6.92%,,2.19%,,5.95%,,0.81%,,-2.79%,,4.39%,,4.76%,,-5.81%,,-3.78%,,-11.24%,,-12.72%,
6/23/17-7/9/17,"2,707.34","2,744.91","2,608.72","2,589.41","2,478.45","2,552.45","2,574.79","2,539.32","2,572.61","2,518.44","2,372.56","2,337.79","2,398.84","2,357.90","2,233.34","1,998.86",8.99%,,5.22%,,6.01%,,10.75%,,7.54%,,6.61%,,8.10%,,8.42%,,-5.79%,,-7.17%,,-4.75%,,-6.37%,,-11.32%,,-20.63%,
7/23/17-8/7/17,"2,808.10","2,730.40","2,754.86","2,576.48","2,529.45","2,671.78","2,809.01","2,726.45","3,212.78","3,378.94","3,419.94","3,342.47","3,381.28","3,650.62","3,884.71","4,073.26",-19.19%,,-0.89%,,5.97%,,7.94%,,2.19%,,-2.80%,,0.14%,,18.43%,,1.21%,,-1.08%,,0.07%,,8.04%,,14.97%,,20.55%,
8/21/17-9/6/17,"4,090.48","4,001.74","4,100.52","4,151.52","4,334.68","4,371.60","4,352.40","4,382.88","4,376.59","4,597.12","4,599.88","4,228.75","4,226.06","4,122.94","4,161.27","4,130.81",-12.95%,,-2.41%,,-3.61%,,-7.68%,,-8.46%,,-8.06%,,-8.70%,,-15.03%,,0.06%,,-8.01%,,-8.07%,,-10.31%,,-9.48%,,-10.14%,
9/20/17-10/5/17,"3,916.36","3,905.95","3,631.04","3,630.70","3,792.40","3,682.84","3,926.07","3,892.35","4,229.88","4,328.41","4,370.81","4,426.89","4,610.48","4,772.02","4,781.99","4,826.48",-9.76%,,7.57%,,7.58%,,2.99%,,6.06%,,-0.51%,,0.35%,,31.88%,,0.98%,,2.28%,,6.52%,,10.25%,,10.48%,,11.51%,
10/19/17-11/4/17,"5,583.74","5,708.52","6,011.45","6,031.60","6,008.42","5,930.32","5,526.64","5,750.80","7,164.48","7,379.95","7,407.41","7,022.76","7,144.38","7,459.69","7,143.58","6,618.14",-22.65%,,-5.04%,,-5.36%,,-4.99%,,-3.74%,,3.29%,,-0.74%,,5.56%,,0.37%,,-4.84%,,-3.19%,,1.08%,,-3.20%,,-10.32%,
11/18/17-12/3/17,"7,697.21","7,790.15","8,036.49","8,200.64","8,071.26","8,253.55","8,038.77","8,253.69","11,082.70","11,323.20","11,657.20","11,916.70","14,291.50","17,899.70","16,569.40","15,178.20",-31.20%,,-3.07%,,-5.01%,,-3.48%,,-5.61%,,-3.09%,,-5.62%,,68.81%,,2.95%,,5.24%,,26.21%,,58.08%,,46.33%,,34.05%,
12/18/17-1/1/2018,"19,106.40","19,114.20","17,776.70","16,624.60","15,802.90","13,831.80","14,699.20","13,925.80","14,112.20","13,657.20","14,982.10","15,201.00","15,599.20","17,429.50","17,527.00","16,477.60",39.96%,,7.52%,,14.98%,,20.95%,,38.19%,,30.04%,,37.26%,,-15.86%,,9.70%,,11.30%,,14.22%,,27.62%,,28.34%,,20.65%,
1/16/18-1/31/18,"13,836.10","11,490.50","11,188.60","11,474.90","11,607.40","12,899.20","11,600.10","10,931.40","10,108.20","10,221.10","9,170.54","8,830.75","9,174.91","8,277.01","6,955.27","7,754.00",12.42%,,2.70%,,0.14%,,-1.01%,,-10.92%,,-0.94%,,5.11%,,-0.54%,,-10.28%,,-13.60%,,-10.24%,,-19.02%,,-31.95%,,-24.14%,
2/15/18-3/1/18,"9,488.32","10,166.40","10,233.90","11,112.70","10,551.80","11,225.30","11,403.70","10,690.40","10,385.00","10,951.00","11,086.40","11,489.70","11,512.60","11,573.30","10,779.90","9,965.57",-7.16%,,-0.66%,,-8.52%,,-3.65%,,-9.43%,,-10.85%,,-4.90%,,-27.71%,,1.24%,,4.92%,,5.13%,,5.68%,,-1.56%,,-9.00%,
3/17/18-3/31/18,"8,321.91","7,916.88","8,223.68","8,630.65","8,913.47","8,929.28","8,728.47","8,879.62","6,892.48","6,973.53","6,844.23","7,083.80","7,456.11","6,853.84","6,811.47","6,636.32",13.53%,,-3.73%,,-8.27%,,-11.18%,,-11.34%,,-9.30%,,-10.84%,,19.44%,,-1.85%,,1.58%,,6.92%,,-1.72%,,-2.32%,,-4.84%,
4/15/18-4/29/18,"7,999.33","8,329.11","8,058.67","7,902.09","8,163.42","8,294.31","8,845.83","8,895.58","9,346.41","9,419.08","9,240.55","9,119.01","9,235.92","9,743.86","9,700.76","9,858.15",-11.57%,,3.36%,,5.40%,,2.03%,,0.42%,,-5.84%,,-6.37%,,-9.65%,,-1.90%,,-3.19%,,-1.94%,,3.45%,,2.99%,,4.66%,
5/15/18-5/29/18,"8,705.19","8,510.38","8,368.83","8,094.32","8,250.97","8,247.18","8,513.25","8,418.99","7,129.46","7,472.59","7,406.52","7,494.17","7,541.45","7,643.45","7,720.25","7,514.47",13.89%,,1.69%,,5.14%,,3.14%,,3.19%,,-0.03%,,1.09%,,-15.02%,,-0.88%,,0.29%,,0.92%,,2.29%,,3.31%,,0.56%,
6/13/18-6/28/18,"6,596.88","6,349.90","6,675.35","6,456.58","6,550.16","6,499.27","6,734.82","6,769.94","6,153.16","5,903.44","6,218.30","6,404.00","6,385.82","6,614.18","6,529.59","6,597.55",7.56%,,-4.88%,,-1.65%,,-3.06%,,-2.30%,,-5.72%,,-6.20%,,5.51%,,5.33%,,8.48%,,8.17%,,12.04%,,10.61%,,11.76%,
7/12/18-7/27/18,"6,396.78","6,228.81","6,238.05","6,276.12","6,359.64","6,741.75","7,321.04","7,370.78","7,950.40","8,165.01","8,192.15","8,218.46","8,180.48","7,780.44","7,624.91","7,567.15",-23.71%,,-0.15%,,-0.75%,,-2.06%,,-7.61%,,-14.92%,,-15.49%,,-22.89%,,0.33%,,0.65%,,0.19%,,-4.71%,,-6.61%,,-7.32%,
8/11/18-8/26/18,"6,185.79","6,295.73","6,322.69","6,297.57","6,199.71","6,308.52","6,334.73","6,580.63","6,754.64","6,707.26","6,884.64","7,096.28","7,047.16","6,978.23","7,037.58","7,193.25",-6.14%,,-0.43%,,-0.03%,,1.55%,,-0.20%,,-0.62%,,-4.33%,,-6.06%,,2.64%,,5.80%,,5.07%,,4.04%,,4.92%,,7.25%,
9/9/18-9/24/18,"6,223.38","6,300.86","6,329.70","6,321.20","6,351.80","6,517.31","6,512.71","6,543.20","6,704.77","6,595.41","6,446.47","6,495.00","6,676.75","6,644.13","6,601.96","6,625.56",-4.47%,,-0.46%,,-0.32%,,-0.80%,,-3.32%,,-3.25%,,-3.70%,,0.86%,,-2.26%,,-1.52%,,1.23%,,0.74%,,0.10%,,0.46%,
10/8/18-10/24/18,"6,600.19","6,652.23","6,642.64","6,585.53","6,256.24","6,274.58","6,285.99","6,290.93","6,478.89","6,495.84","6,476.29","6,474.75","6,480.38","6,486.39","6,332.63","6,334.27",2.41%,,0.14%,,1.01%,,6.33%,,6.02%,,5.83%,,5.74%,,0.53%,,-0.30%,,-0.32%,,-0.24%,,-0.15%,,-2.51%,,-2.49%,
11/7/18-11/23/18,"6,468.50","6,530.14","6,453.72","6,385.62","6,409.22","6,411.27","6,371.27","6,359.49","4,360.70","4,347.11","3,880.76","4,009.97","3,779.13","3,820.72","4,257.42","4,278.85",50.22%,,1.18%,,2.26%,,1.89%,,1.85%,,2.49%,,2.68%,,-21.33%,,-10.73%,,-7.76%,,-13.07%,,-12.11%,,-2.06%,,-1.57%,
12/7/18-12/22/18,"3,512.59","3,419.94","3,476.11","3,614.23","3,502.66","3,424.59","3,486.95","3,313.68","3,898.08","4,014.18","3,998.98","4,078.60","3,815.49","3,857.30","3,654.83","3,923.92",-14.80%,,-1.62%,,-5.38%,,-2.36%,,-0.14%,,-1.92%,,3.21%,,-4.21%,,-0.38%,,1.60%,,-4.95%,,-3.91%,,-8.95%,,-2.25%,
