date,new price open,new price close,t+1 new,t+2 new,t+3 new ,t+4 new ,t+5 new ,t+6 new,full price open,full price close,t+1 full,t+2 full,t+3 full,t+4 full,t+5 full,t+6 full,% change new to full ,,% change new t+1,,% new t+2,,%n t+3,,%n t+4,,%n t+5,,%n t+6,,% change Full to new,,%change full+1,,%Ft+2,,%F t+3,,%ft+4,,%ft+5,,%ft+6,
1/5/19-1/21/19,"3,851.97","3,845.19","4,076.63","4,025.25","4,030.85","4,035.30","3,678.92","3,687.37","3,600.37","3,576.03","3,604.58","3,585.12","3,600.87","3,599.77","3,602.46","3,583.97",7.53%,,-5.68%,,-4.47%,,-4.61%,,-4.71%,,4.52%,,4.28%,,-3.27%,,0.80%,,0.25%,,0.69%,,0.66%,,0.74%,,0.22%,
2/4/19-2/19/19,"3,467.21","3,459.15","3,466.36","3,413.77","3,399.47","3,666.78","3,671.20","3,690.19","3,911.66","3,947.09","3,999.82","3,954.12","4,005.53","4,142.53","3,810.43","3,882.70",-12.36%,,-0.21%,,1.33%,,1.76%,,-5.66%,,-5.78%,,-6.26%,,-1.09%,,1.34%,,0.18%,,1.48%,,4.95%,,-3.46%,,-1.63%,
3/6/19-3/20/19,"3,897.08","3,903.94","3,911.48","3,901.13","3,963.31","3,951.60","3,905.23","3,909.16","4,070.79","4,087.48","4,029.33","4,023.97","4,035.83","4,022.17","3,963.07","3,985.08",-4.49%,,-0.19%,,0.07%,,-1.50%,,-1.21%,,-0.03%,,-0.13%,,23.22%,,-1.42%,,-1.55%,,-1.26%,,-1.60%,,-3.04%,,-2.51%,
4/5/19-4/19/19,"4,922.81","5,036.68","5,059.82","5,198.90","5,289.77","5,204.96","5,324.55","5,064.49","5,298.15","5,303.81","5,337.89","5,314.53","5,399.37","5,572.36","5,464.87","5,210.52",-5.04%,,-0.46%,,-3.12%,,-4.78%,,-3.23%,,-5.41%,,-0.55%,,9.94%,,0.64%,,0.20%,,1.80%,,5.06%,,3.04%,,-1.76%,
5/4/19-5/18/19,"5,769.20","5,831.17","5,795.71","5,746.81","5,829.50","5,982.46","6,174.53","6,378.85","7,341.66","7,271.21","8,197.69","7,978.31","7,963.33","7,680.07","7,881.85","7,987.37",-19.80%,,0.61%,,1.47%,,0.03%,,-2.53%,,-5.56%,,-8.59%,,12.90%,,12.74%,,9.72%,,9.52%,,5.62%,,8.40%,,9.85%,
6/3/19-6/17/19,"8,741.75","8,209.00","7,707.77","7,824.23","7,822.02","8,043.95","7,954.13","7,688.08","8,988.92","9,320.35","9,081.76","9,273.52","9,527.16","10,144.56","10,701.69","10,855.37",-11.92%,,6.50%,,4.92%,,4.95%,,2.05%,,3.20%,,6.78%,,15.89%,,-2.56%,,-0.50%,,2.22%,,8.84%,,14.82%,,16.47%,
7/2/19-7/16/19,"10,588.68","10,801.68","11,961.27","11,215.44","10,978.46","11,208.55","11,450.85","12,285.96","10,896.65","9,477.64","9,693.80","10,666.48","10,530.73","10,767.14","10,599.11","10,343.11",13.97%,,-9.69%,,-3.69%,,-1.61%,,-3.63%,,-5.67%,,-12.08%,,6.41%,,2.28%,,12.54%,,11.11%,,13.61%,,11.83%,,9.13%,
7/31/19-8/15/19,"9,604.05","10,085.63","10,399.67","10,518.17","10,821.73","10,970.18","11,805.65","11,478.17","10,038.42","10,311.55","10,374.34","10,231.74","10,345.81","10,916.05","10,763.23","10,138.05",-2.19%,,-3.02%,,-4.11%,,-6.80%,,-8.06%,,-14.57%,,-12.13%,,-6.92%,,0.61%,,-0.77%,,0.33%,,5.86%,,4.38%,,-1.68%,
8/30/19-9/14/19,"9,514.84","9,598.17","9,630.66","9,757.97","10,346.76","10,623.54","10,594.49","10,575.53","10,345.40","10,358.05","10,347.71","10,276.79","10,241.27","10,198.25","10,266.42","10,181.64",-7.34%,,-0.34%,,-1.64%,,-7.24%,,-9.65%,,-9.40%,,-9.24%,,-20.39%,,-0.10%,,-0.78%,,-1.13%,,-1.54%,,-0.88%,,-1.70%,
9/28/19-10/13/19,"8,251.27","8,245.92","8,104.19","8,293.87","8,343.28","8,393.04","8,259.99","8,205.94","8,336.90","8,321.01","8,374.69","8,205.37","8,047.53","8,103.91","7,973.21","7,988.56",-0.90%,,1.75%,,-0.58%,,-1.17%,,-1.75%,,-0.17%,,0.49%,,14.79%,,0.65%,,-1.39%,,-3.29%,,-2.61%,,-4.18%,,-4.00%,
10/27/19-11/12/19,"9,241.71","9,551.71","9,256.15","9,427.69","9,205.73","9,199.58","9,261.10","9,324.72","8,759.75","8,815.66","8,808.26","8,708.09","8,491.99","8,550.76","8,577.98","8,309.29",8.35%,,3.19%,,1.32%,,3.76%,,3.83%,,3.14%,,2.43%,,-18.12%,,-0.08%,,-1.22%,,-3.67%,,-3.00%,,-2.70%,,-5.74%,
11/26/19-12/12/19,"7,145.16","7,218.37","7,531.66","7,463.11","7,761.24","7,569.63","7,424.29","7,321.99","7,216.74","7,243.13","7,269.68","7,124.67","7,152.30","6,932.48","6,640.52","7,276.80",-0.34%,,-4.16%,,-3.28%,,-6.99%,,-4.64%,,-2.77%,,-1.42%,,-0.06%,,0.37%,,-1.64%,,-1.25%,,-4.29%,,-8.32%,,0.46%,
12/26/19-1/10/20,"7,274.80","7,238.97","7,290.09","7,317.99","7,422.65","7,293.00","7,193.60","7,200.17","7,878.31","8,166.55","8,037.54","8,192.49","8,144.19","8,827.76","8,807.01","8,723.79",-11.36%,,-0.70%,,-1.08%,,-2.47%,,-0.74%,,0.63%,,0.54%,,3.41%,,-1.58%,,0.32%,,-0.27%,,8.10%,,7.84%,,6.82%,
1/24/20-2/9/20,"8,405.57","8,445.43","8,367.85","8,596.83","8,909.82","9,358.59","9,316.63","9,508.99","9,863.89","10,116.67","9,856.61","10,208.24","10,326.05","10,214.38","10,312.12","9,889.42",-16.52%,,0.93%,,-1.76%,,-5.21%,,-9.76%,,-9.35%,,-11.18%,,-1.90%,,-2.57%,,0.91%,,2.07%,,0.97%,,1.93%,,-2.25%,
2/23/20-3/9/20,"9,663.32","9,924.52","9,650.17","9,341.71","8,820.52","8,784.49","8,672.46","8,599.51","8,111.15","7,923.64","7,909.73","7,911.43","4,970.79","5,563.71","5,200.37","5,392.31",25.25%,,2.84%,,6.24%,,12.52%,,12.98%,,14.44%,,15.41%,,-15.00%,,-0.18%,,-0.15%,,-37.27%,,-29.78%,,-34.37%,,-31.95%,
3/24/20-4/7/20,"6,436.64","6,734.80","6,681.06","6,716.44","6,469.80","6,242.19","5,922.04","6,429.84","7,273.64","7,176.41","7,334.10","7,302.09","6,865.49","6,859.08","6,971.09","6,845.04",-6.15%,,0.80%,,0.27%,,4.10%,,7.89%,,13.72%,,4.74%,,-0.82%,,2.20%,,1.75%,,-4.33%,,-4.42%,,-2.86%,,-4.62%,
4/22/20-5/7/20,"6,879.44","7,117.21","7,429.72","7,550.90","7,569.94","7,679.87","7,795.60","7,807.06","9,261.90","9,951.52","9,842.67","9,593.90","8,756.43","8,601.80","8,804.48","9,269.99",-28.48%,,-4.21%,,-5.74%,,-5.98%,,-7.33%,,-8.70%,,-8.84%,,-7.73%,,-1.09%,,-3.59%,,-12.01%,,-13.56%,,-11.53%,,-6.85%,
5/22/20-6/5/20,"9,080.33","9,182.58","9,209.29","8,790.37","8,906.93","8,835.05","9,181.02","9,525.75","9,800.22","9,665.53","9,653.68","9,758.85","9,771.49","9,795.70","9,870.09","9,321.78",-5.00%,,-0.29%,,4.46%,,3.09%,,3.93%,,0.02%,,-3.60%,,-3.74%,,-0.12%,,0.97%,,1.10%,,1.35%,,2.12%,,-3.56%,
6/21/20-7/5/20,"9,330.93","9,303.63","9,648.72","9,629.66","9,313.61","9,264.81","9,162.92","9,045.39","9,126.09","9,073.94","9,375.47","9,252.28","9,428.33","9,277.97","9,278.81","9,240.35",2.53%,,-3.58%,,-3.39%,,-0.11%,,0.42%,,1.54%,,2.85%,,1.00%,,3.32%,,1.97%,,3.91%,,2.25%,,2.26%,,1.83%,
7/20/20-8/3/20,"9,187.22","9,164.23","9,374.89","9,525.36","9,581.07","9,536.89","9,677.11","9,905.17","11,043.77","11,246.35","11,205.89","11,747.02","11,779.77","11,601.47","11,754.05","11,675.74",-18.51%,,-2.25%,,-3.79%,,-4.35%,,-3.91%,,-5.30%,,-7.48%,,6.62%,,-0.36%,,4.45%,,4.74%,,3.16%,,4.51%,,3.82%,
8/18/20-9/2/20,"12,251.90","11,991.23","11,758.28","11,878.37","11,592.49","11,681.83","11,664.85","11,774.60","11,964.82","11,414.03","10,245.30","10,511.81","10,169.57","10,280.35","10,369.56","10,131.52",5.06%,,1.98%,,0.95%,,3.44%,,2.65%,,2.80%,,1.84%,,-4.07%,,-10.24%,,-7.90%,,-10.90%,,-9.93%,,-9.15%,,-11.24%,
9/17/20-10/1/20,"10,973.25","10,948.99","10,944.59","11,094.35","10,938.27","10,462.26","10,538.46","10,225.86","10,785.01","10,623.33","10,585.16","10,565.49","10,684.43","10,804.00","10,621.66","10,679.14",3.07%,,0.04%,,-1.31%,,0.10%,,4.65%,,3.90%,,7.07%,,6.58%,,-0.36%,,-0.54%,,0.58%,,1.70%,,-0.02%,,0.53%,
10/16/20-10/31/20,"11,502.83","11,322.12","11,358.10","11,483.36","11,742.04","11,916.33","12,823.69","12,965.89","13,546.53","13,781.00","13,737.11","13,550.49","13,950.30","14,133.71","15,579.85","15,565.88",-17.84%,,-0.32%,,-1.40%,,-3.58%,,-4.99%,,-11.71%,,-12.68%,,15.78%,,-0.32%,,-1.67%,,1.23%,,2.56%,,13.05%,,12.95%,
11/15/20-11/30/20,"16,068.14","15,955.59","16,716.11","17,645.41","17,804.01","17,817.09","18,621.31","18,642.23","18,178.32","19,625.84","18,803.00","19,201.09","19,445.40","18,699.77","19,154.23","19,345.12",-18.70%,,-4.55%,,-9.58%,,-10.38%,,-10.45%,,-14.32%,,-14.41%,,-1.06%,,-4.19%,,-2.16%,,-0.92%,,-4.72%,,-2.40%,,-1.43%,
12/15/20-12/29/20,"19,246.92","19,417.08","21,310.60","22,805.16","23,137.96","23,869.83","23,477.29","22,803.08","27,081.81","27,362.44","28,840.95","29,001.72","29,374.15","32,127.27","32,782.02","31,971.91",-29.04%,,-8.89%,,-14.86%,,-16.08%,,-18.65%,,-17.29%,,-14.85%,,36.38%,,5.40%,,5.99%,,7.35%,,17.41%,,19.81%,,16.85%,
1/13/21-1/28/21,"33,915.12","37,316.36","39,187.33","36,825.37","36,178.14","35,791.28","36,630.07","36,069.80","30,441.04","31,649.61","34,316.39","34,269.52","33,114.36","33,537.18","35,510.29","37,472.09",17.90%,,-4.77%,,1.33%,,3.15%,,4.26%,,1.87%,,3.46%,,51.37%,,8.43%,,8.28%,,4.63%,,5.96%,,12.20%,,18.40%,
2/11/21-2/27/21,"44,898.71","47,909.33","47,504.85","47,105.52","48,717.29","47,945.06","49,199.87","52,149.01","46,344.77","46,188.45","45,137.77","49,631.24","48,378.99","50,538.24","48,561.17","48,927.30",3.73%,,0.85%,,1.71%,,-1.66%,,-0.07%,,-2.62%,,-8.13%,,32.59%,,-2.27%,,7.45%,,4.74%,,9.42%,,5.14%,,5.93%,
3/13/21-3/28/21,"57,343.37","61,243.09","59,302.32","55,907.20","56,804.90","58,870.89","57,858.92","58,346.65","55,974.94","55,950.75","57,750.20","58,917.69","58,918.83","59,095.81","59,384.31","57,603.89",9.46%,,3.27%,,9.54%,,7.81%,,4.03%,,5.85%,,4.96%,,7.60%,,3.22%,,5.30%,,5.30%,,5.62%,,6.14%,,2.95%,
4/11/21-4/26/21,"59,846.23","60,204.96","59,893.45","63,503.46","63,109.70","63,314.01","61,572.79","60,683.82","49,077.79","54,021.75","55,033.12","54,824.70","53,555.11","57,750.18","57,828.05","56,631.08",11.45%,,0.52%,,-5.19%,,-4.60%,,-4.91%,,-2.22%,,-0.79%,,4.97%,,1.87%,,1.49%,,-0.86%,,6.90%,,7.05%,,4.83%,
5/11/21-5/26/21,"55,847.24","56,704.57","49,150.54","49,716.19","49,880.54","46,760.19","46,456.06","43,537.51","38,392.63","39,294.20","38,436.97","35,697.61","34,616.07","35,678.13","37,332.86","36,684.93",44.31%,,15.37%,,14.06%,,13.68%,,21.27%,,22.06%,,30.24%,,-6.60%,,-2.18%,,-9.15%,,-11.91%,,-9.20%,,-4.99%,,-6.64%,
6/10/21-6/24/21,"37,389.52","36,702.60","37,334.40","35,552.52","39,097.86","40,218.48","40,406.27","38,347.06","33,682.80","34,662.44","31,637.78","32,186.28","34,649.64","34,434.34","35,867.78","35,040.84",5.89%,,-1.69%,,3.23%,,-6.13%,,-8.74%,,-9.17%,,-4.29%,,-2.49%,,-8.73%,,-7.14%,,-0.04%,,-0.66%,,3.48%,,1.09%,
7/9/21-7/23/21,"32,861.67","33,798.01","33,520.52","34,240.19","33,155.85","32,702.03","32,822.35","31,780.73","32,305.96","33,581.55","34,292.45","35,350.19","37,337.54","39,406.94","39,995.91","40,008.42",0.64%,,0.83%,,-1.29%,,1.94%,,3.35%,,2.97%,,6.35%,,30.42%,,2.12%,,5.27%,,11.18%,,17.35%,,19.10%,,19.14%,
8/8/21-8/22/21,"44,574.44","43,798.12","46,365.40","45,585.03","45,593.64","44,428.29","47,793.32","47,096.95","48,869.11","49,321.65","49,546.15","47,706.12","48,960.79","46,942.22","49,058.67","48,902.40",-11.20%,,-5.54%,,-3.92%,,-3.94%,,-1.42%,,-8.36%,,-7.00%,,6.71%,,0.46%,,-3.28%,,-0.73%,,-4.82%,,-0.53%,,-0.85%,
9/6/21-9/20/21,"51,769.00","52,633.54","46,811.13","46,091.39","46,391.42","44,883.91","45,201.46","46,063.27","47,261.41","42,843.80","40,693.68","43,574.51","44,895.10","42,839.75","42,716.59","43,208.54",22.85%,,12.44%,,14.19%,,13.46%,,17.27%,,16.44%,,14.26%,,29.22%,,-5.02%,,1.71%,,4.79%,,-0.01%,,-0.30%,,0.85%,
10/6/21-10/20/21,"51,486.66","55,361.45","53,805.98","53,967.85","54,968.22","54,771.58","57,484.79","56,041.06","64,284.59","65,992.84","62,210.17","60,692.27","61,393.62","60,930.84","63,039.82","60,363.79",-16.11%,,2.89%,,2.58%,,0.72%,,1.08%,,-3.69%,,-1.21%,,-6.88%,,-5.73%,,-8.03%,,-6.97%,,-7.67%,,-4.47%,,-8.53%,
11/4/21-11/19/21,"62,941.80","61,452.23","61,125.68","61,527.48","63,326.99","67,566.83","66,971.83","64,995.23","56,896.13","58,119.58","59,697.20","58,730.48","56,289.29","57,569.07","56,280.43","57,274.68",5.73%,,0.53%,,-0.12%,,-2.96%,,-9.05%,,-8.24%,,-5.45%,,,,2.71%,,1.05%,,-3.15%,,-0.95%,,-3.16%,,-1.45%,
,,,,,,,,,,,,,,,,,,,24.70%,,,,,,,,,,,,,,,,,,,,,,,,,